#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Feb  2 18:12:45 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       telescope_map.ncd
#OUTPUT FILE:      telescope_pad.csv
#PART TYPE:        xc5vlx50
#SPEED GRADE:      -2
#PACKAGE:          ff676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,adcQL1_p<3>,IOB,IO_L17P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
A3,adcQL1_n<3>,IOB,IO_L17N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A4,adcQL1_p<6>,IOB,IO_L12P_VRN_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
A5,adcQL1_n<6>,IOB,IO_L12N_VRP_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A6,,,GND,,,,,,,,,,,,
A7,adcI1_n<0>,IOB,IO_L9N_CC_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A8,adcI1_n<1>,IOB,IO_L7N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A9,adcI1_p<1>,IOB,IO_L7P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,YES,DIFF_TERM,
A10,adcI1_n<4>,IOB,IO_L6N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A11,,,GND,,,,,,,,,,,,
A12,adcI1_n<7>,IOB,IO_L3N_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A13,adcI1_p<7>,IOB,IO_L3P_16,INPUT,LVDS_25,16,,,,NONE,,LOCATED,NO,DIFF_TERM,
A14,adcI2_p<1>,IOB,IO_L1P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
A15,adcI2_n<1>,IOB,IO_L1N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A16,,,GND,,,,,,,,,,,,
A17,adcI2_n<4>,IOB,IO_L5N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A18,adcI2_p<5>,IOB,IO_L6P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
A19,adcI2_n<5>,IOB,IO_L6N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A20,adcI2_p<7>,IOB,IO_L8P_CC_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A21,,,GND,,,,,,,,,,,,
A22,adcQH1_n<0>,IOB,IO_L13N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A23,adcQH1_p<1>,IOB,IO_L14P_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,YES,DIFF_TERM,
A24,adcQH1_n<1>,IOB,IO_L14N_VREF_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A25,adcQH1_n<3>,IOB,IO_L17N_15,INPUT,LVDS_25,15,,,,NONE,,LOCATED,NO,DIFF_TERM,
A26,,,GND,,,,,,,,,,,,
AA1,,,GND,,,,,,,,,,,,
AA2,,IOBM,IO_L15P_14,UNUSED,,14,,,,,,,,,
AA3,galIO<5>,IOB,IO_L11N_CC_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AA4,galIO<4>,IOB,IO_L9P_CC_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AA5,,IOBS,IO_L9N_CC_18,UNUSED,,18,,,,,,,,,
AA6,,,VCCO_18,,,18,,,,,3.30,,,,
AA7,,IOBS,IO_L10N_CC_18,UNUSED,,18,,,,,,,,,
AA8,,IOBS,IO_L2N_A22_2,UNUSED,,2,,,,,,,,,
AA9,,IOBS,IO_L4N_VREF_FOE_B_MOSI_2,UNUSED,,2,,,,,,,,,
AA10,,IOBM,IO_L4P_FCS_B_2,UNUSED,,2,,,,,,,,,
AA11,,,GND,,,,,,,,,,,,
AA12,,IOBM,IO_L8P_D3_2,UNUSED,,2,,,,,,,,,
AA13,,IOBM,IO_L9P_D1_FS1_2,UNUSED,,2,,,,,,,,,
AA14,,IOBS,IO_L9N_D0_FS0_2,UNUSED,,2,,,,,,,,,
AA15,,IOBM,IO_L7P_D5_2,UNUSED,,2,,,,,,,,,
AA16,,,VCCO_2,,,2,,,,,any******,,,,
AA17,,IOBM,IO_L3P_A21_2,UNUSED,,2,,,,,,,,,
AA18,,IOBM,IO_L1P_CC_A25_2,UNUSED,,2,,,,,,,,,
AA19,ioFpga_7,IOB,IO_L19N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AA20,aVersB_3,IOB,IO_L19P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AA21,,,GND,,,,,,,,,,,,
AA22,lWaitOut,IOB,IO_L10N_CC_17,TRISTATE,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AA23,alignIn,IOB,IO_L6P_17,INPUT,LVCMOS25*,17,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
AA24,alignOut,IOB,IO_L6N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AA25,adcQ3_n<6>,IOB,IO_L18N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AA26,,,GND,,,,,,,,,,,,
AB1,,IOBS,IO_L16N_14,UNUSED,,14,,,,,,,,,
AB2,,IOBM,IO_L16P_14,UNUSED,,14,,,,,,,,,
AB3,,,VCCO_18,,,18,,,,,3.30,,,,
AB4,,IOBM,IO_L11P_CC_18,UNUSED,,18,,,,,,,,,
AB5,,IOBS,IO_L14N_VREF_18,UNUSED,,18,,,,,,,,,
AB6,,IOBM,IO_L14P_18,UNUSED,,18,,,,,,,,,
AB7,,IOBS,IO_L15N_18,UNUSED,,18,,,,,,,,,
AB8,,,GND,,,,,,,,,,,,
AB9,,IOBS,IO_L1N_GC_D12_4,UNUSED,,4,,,,,,,,,
AB10,,IOBM,IO_L1P_GC_D13_4,UNUSED,,4,,,,,,,,,
AB11,,IOBS,IO_L8N_D2_FS2_2,UNUSED,,2,,,,,,,,,
AB12,,IOBM,IO_L7P_GC_VRN_4,UNUSED,,4,,,,,,,,,
AB13,,,VCCO_4,,,4,,,,,any******,,,,
AB14,,IOBS,IO_L7N_D4_2,UNUSED,,2,,,,,,,,,
AB15,,IOBM,IO_L5P_FWE_B_2,UNUSED,,2,,,,,,,,,
AB16,,IOBS,IO_L5N_CSO_B_2,UNUSED,,2,,,,,,,,,
AB17,,IOBS,IO_L3N_A20_2,UNUSED,,2,,,,,,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,ioFpga_6,IOB,IO_L18N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AB20,aVersB_2,IOB,IO_L18P_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AB21,aVersB_0,IOB,IO_L11N_CC_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AB22,lWaitIn,IOB,IO_L10P_CC_17,INPUT,LVCMOS25*,17,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
AB23,,,VCCO_21,,,21,,,,,any******,,,,
AB24,blkBusyOut,IOB,IO_L9P_CC_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AB25,adcQ3_p<6>,IOB,IO_L18P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,YES,DIFF_TERM,
AB26,adcQ3_n<7>,IOB,IO_L19N_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AC1,,IOBS,IO_L17N_14,UNUSED,,14,,,,,,,,,
AC2,,IOBM,IO_L17P_14,UNUSED,,14,,,,,,,,,
AC3,,IOBS,IO_L12N_VRP_18,UNUSED,,18,,,,,,,,,
AC4,,IOBM,IO_L12P_VRN_18,UNUSED,,18,,,,,,,,,
AC5,,,GND,,,,,,,,,,,,
AC6,,IOBM,IO_L15P_18,UNUSED,,18,,,,,,,,,
AC7,,IOBS,IO_L5N_GC_4,UNUSED,,4,,,,,,,,,
AC8,,IOBM,IO_L3P_GC_D9_4,UNUSED,,4,,,,,,,,,
AC9,,IOBS,IO_L3N_GC_D8_4,UNUSED,,4,,,,,,,,,
AC10,,,VCCO_4,,,4,,,,,any******,,,,
AC11,,IOBS,IO_L7N_GC_VRP_4,UNUSED,,4,,,,,,,,,
AC12,,IOBS,IO_L8N_CC_GC_4,UNUSED,,4,,,,,,,,,
AC13,,IOBM,IO_L8P_CC_GC_4,UNUSED,,4,,,,,,,,,
AC14,,IOBS,IO_L6N_GC_4,UNUSED,,4,,,,,,,,,
AC15,,,GND,,,,,,,,,,,,
AC16,,IOBS,IO_L2N_GC_D10_4,UNUSED,,4,,,,,,,,,
AC17,,IOBM,IO_L2P_GC_D11_4,UNUSED,,4,,,,,,,,,
AC18,,IOBS,IO_L0N_GC_D14_4,UNUSED,,4,,,,,,,,,
AC19,ioFpga_5,IOB,IO_L17N_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AC20,,,VCCO_21,,,21,,,,,any******,,,,
AC21,aVersB_1,IOB,IO_L11P_CC_17,OUTPUT,LVCMOS25*,17,12,SLOW,,,,LOCATED,NO,NONE,
AC22,syncZer,IOB,IO_L8N_CC_17,INPUT,LVCMOS25*,17,,,,NONE,,LOCATED,NO,NONE,
AC23,glt,IOB,IO_L8P_CC_17,INPUT,LVCMOS25*,17,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
AC24,blkBusyIn,IOB,IO_L9N_CC_17,INPUT,LVCMOS25*,17,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
AC25,,,GND,,,,,,,,,,,,
AC26,adcQ3_p<7>,IOB,IO_L19P_13,INPUT,LVDS_25,13,,,,NONE,,LOCATED,NO,DIFF_TERM,
AD1,,IOBS,IO_L18N_14,UNUSED,,14,,,,,,,,,
AD2,,,GND,,,,,,,,,,,,
AD3,galIO<6>,IOB,IO_L13N_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AD4,galIO<10>,IOB,IO_L13P_18,OUTPUT,LVCMOS33,18,12,SLOW,,,,LOCATED,NO,NONE,
AD5,,IOBS,IO_L17N_18,UNUSED,,18,,,,,,,,,
AD6,,IOBM,IO_L17P_18,UNUSED,,18,,,,,,,,,
AD7,,,VCCO_18,,,18,,,,,3.30,,,,
AD8,,IOBM,IO_L5P_GC_4,UNUSED,,4,,,,,,,,,
AD9,,IOBS,IO_L19N_21,UNUSED,,21,,,,,,,,,
AD10,,IOBS,IO_L9N_CC_GC_4,UNUSED,,4,,,,,,,,,
